pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number
FF,2017-09-24,91.5,-2.1091,6.6841,Lucas Giolito,519058,608337,null,ball,,,,,12,null,R,L,R,CWS,KC,B,null,null,0,0,2017,-0.7312,1.4206,0.0375,3.9369,null,null,null,0,7,Top,null,null,,,607345,,170924_200617,,,,,,,3.459,1.6912,null,null,null,92.533,2111,6.97,492423,608337,607345,571602,660162,570560,641313,547170,641553,542642,53.5286,0,0,null,null,null,null,null,51,1
SL,2017-09-24,84.9,-2.2872,6.6341,Lucas Giolito,521692,608337,field_out,hit_into_play,,,,,6,Salvador Perez lines out to shortstop Tim Anderson.  ,R,R,R,CWS,KC,X,6,line_drive,0,1,2017,0.2208,0.3066,0.5622,2.1402,null,466320,null,2,6,Top,106.38,144.19,,,607345,,170924_194937,,,,,,,3.4181,1.4186,162,70.7,16.317,84.194,2094,5.993,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,54.5052,0.675,0.622,0,1,0,0,4,45,2
FF,2017-09-24,93.6,-2.1555,6.6347,Lucas Giolito,521692,608337,null,swinging_strike,,,,,6,null,R,R,R,CWS,KC,S,null,null,0,0,2017,-0.7389,1.3894,0.5453,2.0482,null,466320,null,2,6,Top,null,null,,,607345,,170924_194905,,,,,,,3.4097,1.4102,null,null,null,94.992,2167,6.851,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,53.6475,0,0,null,null,null,null,null,45,1
CH,2017-09-24,80.1,-2.2863,6.6486,Lucas Giolito,543333,608337,field_out,hit_into_play,,,,,1,Eric Hosmer grounds out softly to first baseman Matt Davidson.   Melky Cabrera to 2nd.,R,L,R,CWS,KC,X,3,ground_ball,0,0,2017,-0.8116,1.1433,-0.319,2.9936,null,null,466320,1,6,Top,145.34,174.3,,,607345,,170924_194759,,,,,,,3.5152,1.5258,5,18.9,-27.02,81.17,1391,7.038,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,53.461,0.1,0.1,0,1,0,0,1,44,1
CU,2017-09-24,77.9,-2.2286,6.7191,Lucas Giolito,466320,608337,single,hit_into_play_no_out,,,,,7,Melky Cabrera singles on a line drive to right fielder Alen Hanson.  ,R,L,R,CWS,KC,X,null,line_drive,1,1,2017,-0.2154,-1.3666,-0.4461,1.7025,null,null,null,1,6,Top,163.85,85.69,,,607345,,170924_194720,,,,,,,3.2068,1.4487,284,91.3,14.964,77.192,2442,6.196,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,54.3028,0.785,0.762,0.9,1,1,0,4,43,3
FF,2017-09-24,92,-2.1467,6.7074,Lucas Giolito,466320,608337,null,foul_tip,,,,,11,null,R,L,R,CWS,KC,S,null,null,1,0,2017,-1.0296,1.6088,-0.9649,3.2025,null,null,null,1,6,Top,null,null,,,607345,,170924_194651,,,,,,,3.2068,1.4487,null,null,null,92.189,2094,6.489,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,54.0099,0,0,null,null,null,null,null,43,2
FF,2017-09-24,91.9,-2.2056,6.7097,Lucas Giolito,466320,608337,null,ball,,,,,11,null,R,L,R,CWS,KC,B,null,null,0,0,2017,-0.8506,1.4733,-0.197,4.208,null,null,null,1,6,Top,null,null,,,607345,,170924_194632,,,,,,,3.4539,1.5622,null,null,null,92.419,2047,6.669,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,53.8296,0,0,null,null,null,null,null,43,1
FF,2017-09-24,92.1,-2.0832,6.5858,Lucas Giolito,456715,608337,strikeout,called_strike,,,,,9,Lorenzo Cain called out on strikes.  ,R,R,R,CWS,KC,S,null,null,2,2,2017,-0.8365,1.5501,0.7179,2.0282,null,null,null,0,6,Top,null,null,,,607345,,170924_194603,,,,,,,3.8866,1.7082,null,null,null,92.914,2131,6.892,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,53.6064,0,0,0,1,0,0,null,42,5
FF,2017-09-24,90.9,-2.1367,6.6628,Lucas Giolito,456715,608337,null,swinging_strike,,,,,3,null,R,R,R,CWS,KC,S,null,null,2,1,2017,-0.7195,1.5018,0.4864,3.4455,null,null,null,0,6,Top,null,null,,,607345,,170924_194536,,,,,,,3.5689,1.5492,null,null,null,91.964,2079,6.818,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,53.6805,0,0,null,null,null,null,null,42,4
FF,2017-09-24,90.4,-2.1513,6.6894,Lucas Giolito,456715,608337,null,ball,,,,,3,null,R,R,R,CWS,KC,B,null,null,1,1,2017,-0.7119,1.3336,0.2939,3.806,null,null,null,0,6,Top,null,null,,,607345,,170924_194517,,,,,,,3.8614,1.6855,null,null,null,90.97,2025,6.478,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,54.0207,0,0,null,null,null,null,null,42,3
