"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"FF","2017-09-27","95.3","-2.5518","5.7332","Reynaldo Lopez",457708,625643,"null","foul",,,,,"4","null","R","R","R","CWS","LAA","S","null","null",3,2,2017,"-1.0417","1.4142","-0.5903","2.1987","null","null","null",0,6,"Top","null","null",,,553882,,"170928_022119",,,,,,,"3.3783","1.4089","205","72.7","42.9844","96.6490","1949","7.1460",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"53.3526","0.000","0.000","null","null","null","null",3,45,"7"
"FF","2017-09-27","95.5","-2.7477","5.7614","Reynaldo Lopez",457708,625643,"null","foul",,,,,"11","null","R","R","R","CWS","LAA","S","null","null",3,2,2017,"-1.1511","1.2720","-0.8942","2.7900","null","null","null",0,6,"Top","null","null",,,553882,,"170928_022050",,,,,,,"3.3783","1.4089","null","null","null","95.4530","2042","6.6350",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"53.8635","0.000","0.000","null","null","null","null","null",45,"6"
"FF","2017-09-27","93.5","-2.4330","5.8713","Reynaldo Lopez",457708,625643,"null","swinging_strike",,,,,"5","null","R","R","R","CWS","LAA","S","null","null",3,1,2017,"-0.8101","1.5994","0.1448","2.7300","null","null","null",0,6,"Top","null","null",,,553882,,"170928_022029",,,,,,,"3.3783","1.4089","null","null","null","92.4550","2053","6.1510",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.3474","0.000","0.000","null","null","null","null","null",45,"5"
"FF","2017-09-27","93.9","-2.5509","5.7515","Reynaldo Lopez",457708,625643,"null","ball",,,,,"14","null","R","R","R","CWS","LAA","B","null","null",2,1,2017,"-1.0182","1.3093","1.2186","2.0056","null","null","null",0,6,"Top","null","null",,,553882,,"170928_022012",,,,,,,"3.8530","1.6397","null","null","null","93.2800","2142","6.3290",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.1693","0.000","0.000","null","null","null","null","null",45,"4"
"CH","2017-09-27","85.8","-2.6747","5.8625","Reynaldo Lopez",457708,625643,"null","ball",,,,,"14","null","R","R","R","CWS","LAA","B","null","null",1,1,2017,"-0.5632","1.2907","1.2163","1.4709","null","null","null",0,6,"Top","null","null",,,553882,,"170928_021956",,,,,,,"3.8296","1.6397","null","null","null","84.5940","1959","5.8410",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.6575","0.000","0.000","null","null","null","null","null",45,"3"
"FF","2017-09-27","94.4","-2.5113","5.7377","Reynaldo Lopez",457708,625643,"null","ball",,,,,"12","null","R","R","R","CWS","LAA","B","null","null",0,1,2017,"-0.8032","1.1904","0.9123","2.8415","null","null","null",0,6,"Top","null","null",,,553882,,"170928_021941",,,,,,,"3.8998","1.6397","null","null","null","93.9200","2107","6.3200",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.1784","0.000","0.000","null","null","null","null","null",45,"2"
"FF","2017-09-27","93.2","-2.4552","5.8655","Reynaldo Lopez",457708,625643,"null","swinging_strike",,,,,"11","null","R","R","R","CWS","LAA","S","null","null",0,0,2017,"-0.9705","1.3506","-0.1758","3.7106","null","null","null",0,6,"Top","null","null",,,553882,,"170928_031635",,,,,,,"3.3783","1.4089","null","null","null","92.5280","2072","6.1860",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.3129","0.000","0.000","null","null","null","null","null",45,"1"
"FF","2017-09-27","98.0","-2.4928","5.7940","Reynaldo Lopez",545361,625643,"strikeout","swinging_strike",,,,,"1","Mike Trout strikes out swinging.  ","R","R","R","CWS","LAA","S","null","null",2,2,2017,"-1.0162","1.4771","-0.5078","2.8851","null","null","null",2,5,"Top","null","null",,,553882,,"170928_015848",,,,,,,"3.3883","1.4693","null","null","null","98.9200","2159","6.6480",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"53.8507","0.000","0.000","0.00",1,0,0,"null",39,"6"
"FF","2017-09-27","96.9","-2.4451","5.6684","Reynaldo Lopez",545361,625643,"null","foul",,,,,"3","null","R","R","R","CWS","LAA","S","null","null",2,2,2017,"-1.1961","1.3360","0.4073","2.8656","null","null","null",2,5,"Top","null","null",,,553882,,"170928_015826",,,,,,,"3.3883","1.4693","181","79.1","20.5261","96.7740","2151","6.2750",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.2236","0.000","0.000","null","null","null","null",4,39,"5"
"CU","2017-09-27","80.5","-2.5506","5.8309","Reynaldo Lopez",545361,625643,"null","ball",,,,,"11","null","R","R","R","CWS","LAA","B","null","null",1,2,2017,"0.1120","-0.3014","-1.6365","4.8277","null","null","null",2,5,"Top","null","null",,,553882,,"170928_015804",,,,,,,"3.8095","1.7970","null","null","null","80.2610","2335","5.9510",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.5478","0.000","0.000","null","null","null","null","null",39,"4"
