pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number
CU,2017-09-27,80.5,-2.5506,5.8309,Reynaldo Lopez,545361,625643,null,ball,,,,,11,null,R,R,R,CWS,LAA,B,null,null,1,2,2017,0.112,-0.3014,-1.6365,4.8277,null,null,null,2,5,Top,null,null,,,553882,,170928_015804,,,,,,,3.8095,1.797,null,null,null,80.261,2335,5.951,492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,54.5478,0,0,null,null,null,null,null,39,4
FF,2017-09-27,97.5,-2.3427,5.6922,Reynaldo Lopez,545361,625643,null,ball,,,,,11,null,R,R,R,CWS,LAA,B,null,null,0,2,2017,-1.0297,1.3888,-1.1202,3.9697,null,null,null,2,5,Top,null,null,,,553882,,170928_015738,,,,,,,3.8797,1.8204,null,null,null,98.053,2146,6.531,492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,53.9673,0,0,null,null,null,null,null,39,3
FF,2017-09-27,96.9,-2.384,5.7615,Reynaldo Lopez,545361,625643,null,foul,,,,,1,null,R,R,R,CWS,LAA,S,null,null,0,1,2017,-1.1548,1.5914,-0.8104,2.8948,null,null,null,2,5,Top,null,null,,,553882,,170928_015720,,,,,,,3.3883,1.4693,184,67.2,36.6523,96.749,2132,6.416,492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,54.0827,0,0,null,null,null,null,4,39,2
FF,2017-09-27,97.4,-2.4343,5.7624,Reynaldo Lopez,545361,625643,null,called_strike,,,,,5,null,R,R,R,CWS,LAA,S,null,null,0,0,2017,-1.2299,1.0571,0.1872,3.0992,null,null,null,2,5,Top,null,null,,,553882,,170928_015659,,,,,,,3.8663,1.8204,null,null,null,97.434,2148,6.348,492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,54.151,0,0,null,null,null,null,null,39,1
CH,2017-09-27,82.9,-2.5592,6.0606,Reynaldo Lopez,594777,625643,home_run,hit_into_play_score,,,,,5,Kole Calhoun homers (18) on a fly ball to center field.  J.   Cron scores.    Martin Maldonado scores.,R,L,R,CWS,LAA,X,null,fly_ball,1,0,2017,-1.3811,0.8231,-0.0715,1.9496,null,543068,455117,2,5,Top,116.45,21.99,,,553882,,170928_015610,,,,,,,2.9558,1.2882,418,105.3,24.646,82.073,1336,5.99,492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,54.5084,0.919,1.72,2,1,0,3,6,38,2
FF,2017-09-27,94.7,-2.5988,5.8163,Reynaldo Lopez,594777,625643,null,ball,,,,,11,null,R,L,R,CWS,LAA,B,null,null,0,0,2017,-0.7907,1.5054,-2.4242,5.3097,null,543068,455117,2,5,Top,null,null,,,553882,,170928_015533,,,,,,,3.3702,1.5724,null,null,null,94.215,2040,6.147,492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,54.3519,0,0,null,null,null,null,null,38,1
CU,2017-09-27,80.2,-2.4954,5.9551,Reynaldo Lopez,455117,625643,single,hit_into_play_no_out,,,,,5,Martin Maldonado singles on a line drive to left fielder Nicky Delmonico.   C.  J.   Cron to 2nd.,R,R,R,CWS,LAA,X,null,line_drive,2,2,2017,-0.027,0.253,0.2211,2.1156,null,null,543068,2,5,Top,101.21,114.16,,,553882,,170928_015438,,,,,,,3.2474,1.2982,211,68.3,23.595,79.737,2224,6.038,492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,54.4605,0.956,0.874,0.9,1,1,0,4,37,5
FF,2017-09-27,95.4,-2.3528,5.8898,Reynaldo Lopez,455117,625643,null,foul,,,,,6,null,R,R,R,CWS,LAA,S,null,null,2,1,2017,-0.8043,1.4355,0.2788,2.4872,null,null,543068,2,5,Top,null,null,,,553882,,170928_015334,,,,,,,3.2474,1.2982,193,73.6,29.4403,95.362,2169,6.517,492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,53.9819,0,0,null,null,null,null,4,37,4
CH,2017-09-27,84.7,-2.4372,6.1064,Reynaldo Lopez,455117,625643,null,ball,,,,,11,null,R,R,R,CWS,LAA,B,null,null,1,1,2017,-1.3778,0.9172,-1.3891,3.1941,null,null,543068,2,5,Top,null,null,,,553882,,170928_015306,,,,,,,3.5551,1.5625,null,null,null,84.164,1521,6.153,492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,54.3454,0,0,null,null,null,null,null,37,3
FF,2017-09-27,96,-2.581,5.7132,Reynaldo Lopez,455117,625643,null,ball,,,,,12,null,R,R,R,CWS,LAA,B,null,null,0,1,2017,-0.8793,1.3161,2.1711,2.8492,null,null,543068,2,5,Top,null,null,,,553882,,170928_015217,,,,,,,3.6253,1.5391,null,null,null,95.704,2121,6.512,492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,53.9862,0,0,null,null,null,null,null,37,2
